대흥동,"63,715","129,864",138,70,"62,095","124,679",102,66,"53,648","106,821",102,66
염리동,"80,589","132,772",235,153,"83,251","131,643",271,84,"82,156","127,876",271,84
신수동,"55,935","103,162",231,49,"53,142","96,703",171,61,"53,408","97,246",171,61
서강동,"29,907","65,333",132,54,"31,289","66,759",103,33,"29,305","62,041",103,33
서교동,"107,820","237,031",139,308,"98,432","212,934",115,164,"83,788","179,682",115,164
합정동,"29,287","64,818",102,65,"28,039","61,528",104,32,"26,379","57,613",104,32
망원1동,"57,880","87,368",193,27,"54,544","83,082",148,28,"57,033","84,762",148,28
망원2동,"56,152","72,127",161,22,"58,555","73,295",120,43,"55,210","69,559",120,43
연남동,"96,246","167,968",255,80,"93,593","154,896",196,50,"93,366","156,461",196,50
성산1동,"56,086","111,873",232,104,"59,345","119,148",181,68,"59,216","119,279",181,68
성산2동,"35,637","81,722",207,50,"35,810","80,452",173,14,"33,741","76,699",173,14
상암동,"6,275","21,603",43,46,"6,719","22,384",36,20,"6,351","21,537",36,20
양천구,"47,418","99,268",257,40,"48,513","101,532",256,78,"46,723","97,366",256,78
목1동,"33,142","110,797",186,92,"32,517","111,714",203,111,"29,294","102,361",203,111
목2동,"67,990","118,900",305,25,"71,638","124,920",305,54,"65,876","115,102",305,54
목3동,"110,030","192,026",430,49,"107,452","191,242",429,47,"111,503","195,822",429,47
목4동,"103,764","156,042",467,39,"117,543","170,789",463,50,"116,051","165,450",463,50
목5동,"23,960","88,467",211,29,"25,380","90,168",209,152,"24,726","87,163",209,152
신월1동,"70,980","132,460",350,43,"73,487","137,139",344,36,"69,385","128,974",344,36
신월2동,"94,337","127,062",367,38,"87,139","119,493",362,49,"90,580","126,869",362,49
신월3동,"34,289","61,780",171,28,"33,505","60,750",177,18,"31,614","57,425",177,18
신월4동,"105,231","143,378",409,43,"106,835","144,077",403,39,"98,839","133,649",403,39
신월5동,"50,420","98,478",317,52,"53,491","104,455",290,42,"47,278","92,609",290,42
신월6동,"43,686","51,224",155,30,"39,573","47,265",151,26,"40,131","47,180",151,26
신월7동,"22,870","68,655",181,25,"22,157","68,085",176,31,"18,887","59,317",176,31
신정1동,"41,396","99,561",296,38,"44,612","115,461",295,160,"43,001","113,232",295,160
신정2동,"67,251","115,873",352,32,"71,903","121,809",345,235,"70,966","119,556",345,235
신정3동,"26,729","55,852",170,23,"27,883","57,835",169,27,"29,068","58,519",169,27
신정4동,"108,095","176,131",355,77,"110,232","179,391",349,73,"100,718","166,033",349,73
신정6동,"17,141","74,578",257,60,"15,721","67,801",260,187,"18,113","74,167",260,187
신정7동,"27,976","97,506",263,18,"30,069","102,770",268,50,"28,609","96,253",268,50
강서구,"27,561","57,014",138,47,"27,480","56,899",137,35,"27,698","56,578",137,35
염창동,"45,248","78,193",206,64,"44,453","76,968",214,100,"45,015","78,022",214,100
등촌1동,"66,468","154,354",347,451,"71,650","163,596",360,133,"75,039","173,998",360,133
등촌2동,"47,203","81,096",242,27,"50,229","87,129",239,55,"46,947","80,665",239,55
등촌3동,"44,130","146,081",315,185,"45,360","150,182",309,146,"44,870","149,526",309,146
화곡1동,"153,328","210,701",446,42,"158,705","218,404",447,42,"168,651","223,453",447,42
화곡2동,"105,155","167,439",431,37,"90,960","141,801",422,34,"95,094","152,608",422,34
화곡3동,"75,113","162,245",436,40,"79,535","173,994",436,103,"78,004","172,782",436,103
화곡4동,"58,318","105,462",262,23,"59,293","104,363",254,32,"57,012","103,029",254,32
화곡본동,"91,001","143,916",357,23,"94,878","147,344",351,30,"95,546","146,441",351,30
화곡6동,"59,345","108,364",237,97,"52,182","97,084",238,104,"52,535","95,161",238,104
화곡8동,"151,740","252,933",465,32,"143,369","241,682",459,36,"152,042","254,208",459,36
가양1동,"4,282","23,575",66,54,"4,364","25,118",67,9,"4,352","24,684",67,9
가양2동,"19,120","59,760",159,23,"18,424","60,483",151,29,"19,868","64,378",151,29
가양3동,"30,577","90,757",237,84,"25,977","79,339",233,47,"25,810","76,950",233,47
발산1동,"18,805","45,552",127,26,"19,902","47,146",126,11,"20,094","48,944",126,11
